top - 02:44:52 up 1 day,  9:01,  3 users,  load average: 1.51, 1.13, 0.89
Tasks: 117 total,   2 running, 115 sleeping,   0 stopped,   0 zombie
%Cpu(s): 23.9 us,  0.7 sy,  0.0 ni, 75.4 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   832528 used,   115488 free,    99108 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   617924 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
17790 pi        20   0  5356 4304  844 R 100.3  0.5   1:45.00 bzip2
17971 pi        20   0  4716 2380 2116 R  11.8  0.3   0:00.04 top
    1 root      20   0  2172 1388 1284 S   0.0  0.1   0:05.57 init
    2 root      20   0     0    0    0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0     0    0    0 S   0.0  0.0   0:08.76 ksoftirqd/0
    5 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0     0    0    0 S   0.0  0.0   1:27.39 rcu_sched
    8 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0     0    0    0 S   0.0  0.0   0:03.24 migration/0
   10 root      rt   0     0    0    0 S   0.0  0.0   0:01.93 migration/1
   11 root      20   0     0    0    0 S   0.0  0.0   0:02.18 ksoftirqd/1
   13 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:0H
   14 root      rt   0     0    0    0 S   0.0  0.0   0:02.83 migration/2
   15 root      20   0     0    0    0 S   0.0  0.0   0:03.33 ksoftirqd/2
   17 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0H
   18 root      rt   0     0    0    0 S   0.0  0.0   0:03.01 migration/3
   19 root      20   0     0    0    0 S   0.0  0.0   0:03.32 ksoftirqd/3
   21 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:0H
   22 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 khelper
   23 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kdevtmpfs
   24 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 netns
   25 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 perf
   26 root      20   0     0    0    0 S   0.0  0.0   0:00.14 khungtaskd
   27 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 writeback
   28 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 crypto
