top - 01:22:46 up 1 day,  7:39,  3 users,  load average: 1.02, 0.48, 0.26
Tasks: 115 total,   2 running, 113 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.5 us,  0.7 sy,  0.0 ni, 74.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   928496 used,    19520 free,   120372 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   312168 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 4563 pi        20   0  383m 380m  608 R 100.3 41.1   0:18.05 buscabinaria
 4598 pi        20   0  4716 2348 2084 R  11.8  0.2   0:00.04 top
    1 root      20   0  2172 1388 1284 S   0.0  0.1   0:05.46 init
    2 root      20   0     0    0    0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0     0    0    0 S   0.0  0.0   0:08.16 ksoftirqd/0
    5 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0     0    0    0 S   0.0  0.0   1:23.34 rcu_sched
    8 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0     0    0    0 S   0.0  0.0   0:03.03 migration/0
   10 root      rt   0     0    0    0 S   0.0  0.0   0:01.84 migration/1
   11 root      20   0     0    0    0 S   0.0  0.0   0:02.04 ksoftirqd/1
   13 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:0H
   14 root      rt   0     0    0    0 S   0.0  0.0   0:02.62 migration/2
   15 root      20   0     0    0    0 S   0.0  0.0   0:03.13 ksoftirqd/2
   17 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0H
   18 root      rt   0     0    0    0 S   0.0  0.0   0:02.87 migration/3
   19 root      20   0     0    0    0 S   0.0  0.0   0:03.20 ksoftirqd/3
   21 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:0H
   22 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 khelper
   23 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kdevtmpfs
   24 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 netns
   25 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 perf
   26 root      20   0     0    0    0 S   0.0  0.0   0:00.14 khungtaskd
   27 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 writeback
   28 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 crypto
   29 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 bioset
   30 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kblockd
   31 root      20   0     0    0    0 S   0.0  0.0   0:10.67 kworker/1:1
   32 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 rpciod
   33 root      20   0     0    0    0 S   0.0  0.0   0:00.19 kswapd0
   34 root      20   0     0    0    0 S   0.0  0.0   0:00.00 fsnotify_mark
   35 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 nfsiod
   41 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kthrotld
   43 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQ-0
   44 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQr-0
   45 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 VCHIQs-0
   46 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 iscsi_eh
   47 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 dwc_otg
   48 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 DWC Notificatio
   50 root      20   0     0    0    0 S   0.0  0.0   0:08.24 kworker/2:1
   51 root      20   0     0    0    0 S   0.0  0.0   0:23.62 mmcqd/0
   52 root      20   0     0    0    0 S   0.0  0.0   0:00.00 VCHIQka-0
   53 root      10 -10     0    0    0 S   0.0  0.0   0:00.00 SMIO
