top - 00:32:37 up 1 day,  6:48,  3 users,  load average: 1.07, 1.05, 1.05
Tasks: 114 total,   2 running, 112 sleeping,   0 stopped,   0 zombie
%Cpu(s): 25.1 us,  0.7 sy,  0.0 ni, 74.2 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   464724 used,   483292 free,   112208 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   232492 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 1571 pi        20   0 27024  22m 4832 R 100.4  2.4   1507:36 gnugo
 3738 pi        20   0  4712 2384 2116 R  11.8  0.3   0:00.04 top
    1 root      20   0  2172 1388 1284 S   0.0  0.1   0:05.39 init
    2 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kthreadd
    3 root      20   0     0    0    0 S   0.0  0.0   0:07.65 ksoftirqd/0
    5 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0     0    0    0 S   0.0  0.0   1:22.40 rcu_sched
    8 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0     0    0    0 S   0.0  0.0   0:03.02 migration/0
   10 root      rt   0     0    0    0 S   0.0  0.0   0:01.83 migration/1
   11 root      20   0     0    0    0 S   0.0  0.0   0:02.01 ksoftirqd/1
   13 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:0H
   14 root      rt   0     0    0    0 S   0.0  0.0   0:02.61 migration/2
   15 root      20   0     0    0    0 S   0.0  0.0   0:03.10 ksoftirqd/2
   17 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0H
   18 root      rt   0     0    0    0 S   0.0  0.0   0:02.86 migration/3
   19 root      20   0     0    0    0 S   0.0  0.0   0:03.19 ksoftirqd/3
   21 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:0H
   22 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 khelper
   23 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kdevtmpfs
   24 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 netns
   25 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 perf
   26 root      20   0     0    0    0 S   0.0  0.0   0:00.14 khungtaskd
   27 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 writeback
   28 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 crypto
   29 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 bioset
   30 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kblockd
   31 root      20   0     0    0    0 S   0.0  0.0   0:09.99 kworker/1:1
   32 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 rpciod
   33 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kswapd0
   34 root      20   0     0    0    0 S   0.0  0.0   0:00.00 fsnotify_mark
   35 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 nfsiod
   41 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kthrotld
   43 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQ-0
   44 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQr-0
   45 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 VCHIQs-0
   46 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 iscsi_eh
   47 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 dwc_otg
   48 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 DWC Notificatio
   50 root      20   0     0    0    0 S   0.0  0.0   0:08.12 kworker/2:1
   51 root      20   0     0    0    0 S   0.0  0.0   0:23.28 mmcqd/0
   52 root      20   0     0    0    0 S   0.0  0.0   0:00.00 VCHIQka-0
   53 root      10 -10     0    0    0 S   0.0  0.0   0:00.00 SMIO
   54 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 deferwq
   55 root      20   0     0    0    0 S   0.0  0.0   0:07.35 jbd2/mmcblk0p7-
   56 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 ext4-rsv-conver
   58 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/1:2
  173 root      20   0  2916 2180 1644 S   0.0  0.2   0:00.55 udevd
  391 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:1H
 1417 pi        20   0  100m  22m  18m S   0.0  2.4   0:16.72 vim.gtk
 1568 pi        20   0  9040 6324 3996 S   0.0  0.7   3:20.99 lab1.py
 1569 pi        20   0  1788  344  292 S   0.0  0.0   0:00.00 sh
 1599 root      20   0  1780 1048  960 S   0.0  0.1   0:13.00 ifplugd
 1612 root      20   0  1780 1068  980 S   0.0  0.1   0:45.36 ifplugd
 1726 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/2:2
 1844 nobody    20   0  2048 1420 1304 S   0.0  0.1   0:05.09 thd
 1855 root      20   0 28004 2496 2176 S   0.0  0.3   0:00.59 rsyslogd
 1976 root      20   0  3824 1704 1540 S   0.0  0.2   0:00.37 cron
 1993 ntp       20   0  5552 3872 3432 S   0.0  0.4   0:17.06 ntpd
 2009 messageb  20   0  3316 1996 1724 S   0.0  0.2   0:00.14 dbus-daemon
 2064 root      20   0 31920 4944 4476 S   0.0  0.5   0:00.09 lightdm
 2105 root      20   0  3776 1724 1592 S   0.0  0.2   0:00.01 getty
