top - 02:30:57 up 1 day,  8:47,  3 users,  load average: 1.12, 1.21, 0.90
Tasks: 115 total,   1 running, 113 sleeping,   0 stopped,   1 zombie
%Cpu(s): 23.9 us,  0.7 sy,  0.0 ni, 75.3 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    948016 total,   590388 used,   357628 free,    98628 buffers
KiB Swap:   102396 total,        0 used,   102396 free,   383104 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 2286 pi        20   0  152m  20m  16m S  23.4  2.2   5:55.02 lxterminal
17223 pi        20   0  4716 2352 2088 R  11.7  0.2   0:00.04 top
13433 pi        20   0     0    0    0 Z   5.8  0.0   5:06.71 perl
    1 root      20   0  2172 1388 1284 S   0.0  0.1   0:05.55 init
    2 root      20   0     0    0    0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0     0    0    0 S   0.0  0.0   0:08.68 ksoftirqd/0
    5 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0     0    0    0 S   0.0  0.0   1:26.79 rcu_sched
    8 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0     0    0    0 S   0.0  0.0   0:03.23 migration/0
   10 root      rt   0     0    0    0 S   0.0  0.0   0:01.92 migration/1
   11 root      20   0     0    0    0 S   0.0  0.0   0:02.15 ksoftirqd/1
   13 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/1:0H
   14 root      rt   0     0    0    0 S   0.0  0.0   0:02.82 migration/2
   15 root      20   0     0    0    0 S   0.0  0.0   0:03.31 ksoftirqd/2
   17 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/2:0H
   18 root      rt   0     0    0    0 S   0.0  0.0   0:03.01 migration/3
   19 root      20   0     0    0    0 S   0.0  0.0   0:03.31 ksoftirqd/3
   21 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/3:0H
   22 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 khelper
   23 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kdevtmpfs
   24 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 netns
   25 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 perf
   26 root      20   0     0    0    0 S   0.0  0.0   0:00.14 khungtaskd
   27 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 writeback
   28 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 crypto
   29 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 bioset
   30 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kblockd
   31 root      20   0     0    0    0 S   0.0  0.0   0:11.34 kworker/1:1
   32 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 rpciod
   33 root      20   0     0    0    0 S   0.0  0.0   0:00.43 kswapd0
   34 root      20   0     0    0    0 S   0.0  0.0   0:00.00 fsnotify_mark
   35 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 nfsiod
   41 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kthrotld
